Frequency (GHz)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 25 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 15 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 16 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 17 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 18 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 19 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 20 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 21 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 22 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 23 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 24 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 25 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 25 dBm)
10	25.9981	29.056	32.3865	36.0089	39.4512	41.3076	41.2281	39.9816	37.87	35.0805	32.1794	-25.0824	-25.0824	-25.0824	-25.0824	-25.0824	-25.0824	-25.0824	-25.0824	-25.0824	-25.0824	-25.0824	24.6778	25.6666	26.6422	27.5953	28.4676	29.1077	29.5071	29.7729	29.9518	30.0515	30.0136
10.5	22.9322	25.6283	28.5042	31.6533	34.9922	38.0377	39.5909	39.2861	37.7542	35.3542	32.384	-25.209	-25.209	-25.209	-25.209	-25.209	-25.209	-25.209	-25.209	-25.209	-25.209	-25.209	24.1243	25.108	26.0756	27.0263	27.9457	28.7804	29.3994	29.785	30.0289	30.1828	30.1976
11	20.9787	23.4962	26.2279	29.1467	32.2822	35.4174	37.923	38.6668	37.7677	35.6473	32.6023	-25.3773	-25.3773	-25.3773	-25.3773	-25.3773	-25.3773	-25.3773	-25.3773	-25.3773	-25.3773	-25.3773	23.6016	24.5896	25.5653	26.5231	27.4572	28.3437	29.1083	29.6421	29.9831	30.1942	30.2852
11.5	19.4859	21.8725	24.4554	27.2307	30.2503	33.3915	36.1351	37.2933	36.624	34.6909	31.7334	-25.6472	-25.6472	-25.6472	-25.6472	-25.6472	-25.6472	-25.6472	-25.6472	-25.6472	-25.6472	-25.6472	23.0115	24.0041	24.9874	25.9574	26.9107	27.8304	28.6558	29.2631	29.6553	29.9139	30.0745
12	17.5379	19.7484	22.1517	24.7236	27.4778	30.4649	33.2805	34.7301	34.1941	32.1871	29.1206	-26.0835	-26.0835	-26.0835	-26.0835	-26.0835	-26.0835	-26.0835	-26.0835	-26.0835	-26.0835	-26.0835	22.2949	23.2932	24.2855	25.267	26.2343	27.1818	28.0607	28.7377	29.1729	29.4511	29.6302
12.5	14.394	16.2433	18.2572	20.428	22.7242	25.2177	27.7856	29.6017	29.6008	27.8758	24.8971	-26.7433	-26.7433	-26.7433	-26.7433	-26.7433	-26.7433	-26.7433	-26.7433	-26.7433	-26.7433	-26.7433	21.3602	22.3631	23.3568	24.3482	25.3213	26.2835	27.2071	27.9813	28.5026	28.8273	29.0366
13	10.0701	11.3688	12.7516	14.2502	15.8415	17.5486	19.3781	21.0132	21.5666	20.5105	18.0711	-27.6939	-27.6939	-27.6939	-27.6939	-27.6939	-27.6939	-27.6939	-27.6939	-27.6939	-27.6939	-27.6939	20.1126	21.122	22.1014	23.0866	24.0612	25.023	25.9634	26.8276	27.4828	27.8983	28.1596
13.5	5.56912	6.20889	6.99102	7.72613	8.53614	9.40499	10.301	11.1346	11.6794	11.4085	9.84714	-29.0174	-29.0174	-29.0174	-29.0174	-29.0174	-29.0174	-29.0174	-29.0174	-29.0174	-29.0174	-29.0174	18.4931	19.4512	20.4616	21.4093	22.3711	23.3217	24.2516	25.1416	25.9427	26.5531	26.9424
14	1.89455	2.10607	2.3141	2.52326	2.72581	2.91544	3.04836	3.07546	2.92394	2.474	1.45011	-30.7763	-30.7763	-30.7763	-30.7763	-30.7763	-30.7763	-30.7763	-30.7763	-30.7763	-30.7763	-30.7763	16.3658	17.3468	18.314	19.2721	20.2181	21.1495	22.0532	22.9177	23.7299	24.4671	25.0718
14.5	-0.377071	-0.450012	-0.55024	-0.68131	-0.857095	-1.09279	-1.42286	-1.89025	-2.54786	-3.45944	-4.7321	-32.9769	-32.9769	-32.9769	-32.9769	-32.9769	-32.9769	-32.9769	-32.9769	-32.9769	-32.9769	-32.9769	13.9186	14.8929	15.8505	16.7944	17.7202	18.6267	19.4999	20.3294	21.1067	21.8257	22.4689
15	-1.63019	-1.85292	-2.12914	-2.44613	-2.826	-3.28965	-3.86564	-4.5915	-5.51093	-6.68049	-8.18584	-35.5177	-35.5177	-35.5177	-35.5177	-35.5177	-35.5177	-35.5177	-35.5177	-35.5177	-35.5177	-35.5177	11.1767	12.153	13.0916	14.0191	14.924	15.8062	16.6508	17.4489	18.1943	18.8829	19.5012
