! Probe	Frequency	Pt Number	X pos	Y pos	Gamma s11	Phi s11	Gamma s12	Phi s12	Gamma s21	Phi s21	Gamma s22	Phi s22	loss
1	2.50000	1	0	0	0.01574	 -48.01	0.98199	 103.30	0.98299	 103.76	0.02786	-129.41	 0.15
1	2.50000	2	0	2438	0.01574	 -47.94	0.98092	 103.27	0.98321	 103.77	0.02768	-129.76	 0.15
1	2.50000	3	250	2438	0.01578	 -47.31	0.98137	 103.33	0.98336	 103.69	0.02775	-129.17	 0.14
1	2.50000	4	500	2438	0.01579	 -47.22	0.98156	 103.30	0.98382	 103.70	0.02763	-129.29	 0.14
1	2.50000	5	750	2438	0.01572	 -47.25	0.98203	 103.28	0.98283	 103.72	0.02781	-129.18	 0.15
1	2.50000	6	1000	2438	0.01583	 -47.37	0.98183	 103.28	0.98241	 103.67	0.02789	-129.11	 0.15
1	2.50000	7	1250	2438	0.01578	 -47.42	0.98124	 103.26	0.98330	 103.79	0.02764	-129.29	 0.15
1	2.50000	8	1500	2438	0.01583	 -47.43	0.98226	 103.28	0.98319	 103.75	0.02785	-129.28	 0.15
1	2.50000	9	1750	2438	0.01583	 -47.53	0.98121	 103.30	0.98314	 103.76	0.02750	-129.26	 0.15
1	2.50000	10	2000	2438	0.01582	 -47.97	0.98139	 103.29	0.98225	 103.73	0.02768	-128.95	 0.15
1	2.50000	11	2250	2438	0.01596	 -47.59	0.98134	 103.27	0.98396	 103.75	0.02754	-129.56	 0.14
1	2.50000	12	2500	2438	0.01593	 -48.07	0.98124	 103.28	0.98327	 103.70	0.02766	-129.24	 0.15
1	2.50000	13	2750	2438	0.01599	 -48.08	0.98158	 103.25	0.98318	 103.73	0.02771	-129.29	 0.15
1	2.50000	14	3000	2438	0.01592	 -48.32	0.98037	 103.26	0.98286	 103.72	0.02758	-129.56	 0.15
1	2.50000	15	3250	2438	0.01585	 -47.64	0.98179	 103.28	0.98317	 103.68	0.02755	-128.99	 0.15
1	2.50000	16	3500	2438	0.01593	 -47.47	0.98194	 103.28	0.98300	 103.72	0.02768	-129.25	 0.15
1	2.50000	17	3750	2438	0.01578	 -48.24	0.98117	 103.27	0.98306	 103.75	0.02754	-129.30	 0.15
