! Probe	Frequency	Pt Number	X pos	Y pos	Gamma s11	Phi s11	Gamma s12	Phi s12	Gamma s21	Phi s21	Gamma s22	Phi s22	loss
1	4.00000	1	0	0	0.01551	 -67.51	0.97650	  21.37	0.98547	  22.08	0.02672	  96.78	 0.13
1	4.00000	2	0	2438	0.01561	 -68.04	0.97616	  21.36	0.98553	  22.11	0.02681	  96.74	 0.13
1	4.00000	3	250	2438	0.01549	 -67.90	0.97606	  21.39	0.98481	  22.05	0.02680	  96.77	 0.13
1	4.00000	4	500	2438	0.01556	 -67.48	0.97639	  21.41	0.98520	  22.06	0.02680	  97.27	 0.13
1	4.00000	5	750	2438	0.01544	 -66.51	0.97620	  21.38	0.98532	  22.07	0.02687	  97.23	 0.13
1	4.00000	6	1000	2438	0.01544	 -67.39	0.97629	  21.41	0.98510	  22.06	0.02673	  96.86	 0.13
1	4.00000	7	1250	2438	0.01541	 -67.79	0.97626	  21.31	0.98487	  22.10	0.02669	  96.73	 0.13
1	4.00000	8	1500	2438	0.01532	 -67.09	0.97576	  21.38	0.98576	  22.07	0.02681	  96.56	 0.12
1	4.00000	9	1750	2438	0.01537	 -68.01	0.97648	  21.32	0.98486	  22.09	0.02675	  96.78	 0.13
1	4.00000	10	2000	2438	0.01543	 -67.65	0.97629	  21.40	0.98579	  22.09	0.02686	  96.78	 0.12
1	4.00000	11	2250	2438	0.01521	 -67.42	0.97621	  21.37	0.98514	  22.08	0.02673	  96.57	 0.13
1	4.00000	12	2500	2438	0.01549	 -67.31	0.97640	  21.38	0.98534	  22.07	0.02681	  96.71	 0.13
1	4.00000	13	2750	2438	0.01565	 -67.43	0.97662	  21.32	0.98512	  22.12	0.02687	  96.68	 0.13
1	4.00000	14	3000	2438	0.01565	 -67.31	0.97649	  21.38	0.98516	  22.07	0.02676	  96.77	 0.13
1	4.00000	15	3250	2438	0.01557	 -68.04	0.97641	  21.35	0.98491	  22.09	0.02692	  96.76	 0.13
1	4.00000	16	3500	2438	0.01540	 -67.30	0.97681	  21.39	0.98498	  22.07	0.02671	  96.83	 0.13
1	4.00000	17	3750	2438	0.01556	 -67.25	0.97663	  21.37	0.98539	  22.13	0.02684	  96.95	 0.13
1	4.00000	18	4000	2438	0.01541	 -68.03	0.97667	  21.32	0.98559	  22.13	0.02671	  96.70	 0.13
1	4.00000	19	4250	2438	0.01548	 -67.44	0.97633	  21.36	0.98491	  22.05	0.02671	  96.56	 0.13
1	4.00000	20	4500	2438	0.01555	 -67.74	0.97639	  21.34	0.98540	  22.12	0.02672	  96.86	 0.13
1	4.00000	21	4750	2438	0.01544	 -67.37	0.97650	  21.35	0.98498	  22.07	0.02674	  96.66	 0.13
1	4.00000	22	5000	2438	0.01550	 -67.25	0.97639	  21.34	0.98541	  22.13	0.02688	  96.87	 0.13
1	4.00000	23	5250	2438	0.01550	 -67.22	0.97688	  21.41	0.98555	  22.08	0.02681	  96.39	 0.13
1	4.00000	24	5500	2438	0.01550	 -67.19	0.97681	  21.38	0.98537	  22.04	0.02683	  96.70	 0.13
1	4.00000	25	5750	2438	0.01555	 -67.70	0.97618	  21.38	0.98570	  22.04	0.02680	  96.56	 0.12
1	4.00000	26	6000	2438	0.01556	 -66.94	0.97666	  21.35	0.98503	  22.04	0.02678	  96.77	 0.13
1	4.00000	27	6250	2438	0.01547	 -67.02	0.97634	  21.36	0.98560	  22.14	0.02679	  96.83	 0.12
1	4.00000	28	6500	2438	0.01530	 -67.17	0.97659	  21.40	0.98474	  22.06	0.02682	  96.79	 0.13
1	4.00000	29	6750	2438	0.01536	 -67.11	0.97661	  21.34	0.98601	  22.09	0.02680	  96.97	 0.12
1	4.00000	30	7000	2438	0.01554	 -67.53	0.97683	  21.36	0.98472	  22.05	0.02663	  96.76	 0.13
1	4.00000	31	7250	2438	0.01550	 -67.12	0.97621	  21.38	0.98587	  22.10	0.02671	  96.96	 0.12
1	4.00000	32	7500	2438	0.01541	 -67.28	0.97616	  21.35	0.98555	  22.12	0.02677	  96.75	 0.13
1	4.00000	33	7750	2438	0.01540	 -67.09	0.97637	  21.34	0.98449	  22.13	0.02676	  96.63	 0.13
1	4.00000	34	8000	2438	0.01543	 -67.72	0.97635	  21.37	0.98556	  22.10	0.02667	  96.44	 0.13
1	4.00000	35	8250	2438	0.01549	 -67.23	0.97661	  21.36	0.98568	  22.11	0.02681	  96.83	 0.12
1	4.00000	36	8500	2438	0.01560	 -66.94	0.97694	  21.39	0.98499	  22.05	0.02682	  96.70	 0.13
1	4.00000	37	8750	2438	0.01557	 -67.53	0.97651	  21.33	0.98515	  22.06	0.02686	  96.77	 0.13
1	4.00000	38	9000	2438	0.01546	 -67.39	0.97620	  21.35	0.98518	  22.10	0.02677	  97.03	 0.13
1	4.00000	39	9250	2438	0.01560	 -67.64	0.97667	  21.33	0.98562	  22.08	0.02682	  96.70	 0.12
1	4.00000	40	9500	2438	0.01545	 -67.44	0.97649	  21.37	0.98548	  22.06	0.02673	  96.92	 0.13
1	4.00000	41	9750	2438	0.01525	 -67.34	0.97640	  21.34	0.98519	  22.11	0.02671	  97.06	 0.13
1	4.00000	42	10000	2438	0.01526	 -67.58	0.97664	  21.35	0.98545	  22.06	0.02669	  96.77	 0.13
1	4.00000	43	10250	2438	0.01536	 -68.16	0.97578	  21.36	0.98529	  22.06	0.02667	  96.73	 0.13
1	4.00000	44	10500	2438	0.01542	 -67.52	0.97658	  21.39	0.98516	  22.09	0.02666	  96.88	 0.13
1	4.00000	45	10750	2438	0.01535	 -67.25	0.97617	  21.38	0.98493	  22.08	0.02671	  96.61	 0.13
1	4.00000	46	11000	2438	0.01537	 -66.96	0.97635	  21.39	0.98486	  22.03	0.02674	  96.47	 0.13
1	4.00000	47	11250	2438	0.01550	 -67.15	0.97662	  21.36	0.98541	  22.11	0.02668	  96.97	 0.13
1	4.00000	48	11500	2438	0.01548	 -66.84	0.97656	  21.34	0.98488	  22.10	0.02670	  96.81	 0.13
1	4.00000	49	11750	2438	0.01541	 -68.21	0.97598	  21.38	0.98516	  22.06	0.02672	  96.96	 0.13
1	4.00000	50	12000	2438	0.01529	 -67.91	0.97579	  21.37	0.98526	  22.08	0.02674	  96.89	 0.13
