! Probe	Frequency	Pt Number	X pos	Y pos	Gamma s11	Phi s11	Gamma s12	Phi s12	Gamma s21	Phi s21	Gamma s22	Phi s22	loss
1	4.95000	1	0	0	0.12290	 175.87	0.97852	  58.75	0.98285	  59.13	0.08017	 -56.06	 0.08
1	4.95000	2	0	2438	0.12272	 175.98	0.97876	  58.78	0.98241	  59.07	0.08003	 -56.14	 0.09
1	4.95000	3	250	2438	0.12299	 176.00	0.97897	  58.81	0.98316	  59.10	0.08014	 -56.01	 0.08
1	4.95000	4	500	2438	0.12303	 175.84	0.97894	  58.80	0.98230	  59.05	0.08002	 -56.05	 0.09
1	4.95000	5	750	2438	0.12296	 175.80	0.97874	  58.76	0.98306	  59.08	0.08013	 -56.08	 0.08
1	4.95000	6	1000	2438	0.12285	 175.93	0.97891	  58.79	0.98372	  59.11	0.08015	 -56.03	 0.08
1	4.95000	7	1250	2438	0.12287	 175.85	0.97850	  58.79	0.98375	  59.11	0.08020	 -56.05	 0.08
1	4.95000	8	1500	2438	0.12282	 175.87	0.97853	  58.79	0.98337	  59.06	0.08034	 -56.15	 0.08
1	4.95000	9	1750	2438	0.12293	 175.90	0.97917	  58.83	0.98265	  59.03	0.08026	 -55.99	 0.09
1	4.95000	10	2000	2438	0.12290	 175.86	0.97907	  58.83	0.98234	  59.04	0.08011	 -56.05	 0.09
1	4.95000	11	2250	2438	0.12264	 175.85	0.97860	  58.81	0.98265	  59.10	0.08018	 -56.11	 0.09
1	4.95000	12	2500	2438	0.12279	 175.87	0.97905	  58.76	0.98228	  59.08	0.08006	 -55.98	 0.09
1	4.95000	13	2750	2438	0.12321	 175.87	0.97951	  58.73	0.98386	  59.12	0.08030	 -56.11	 0.07
1	4.95000	14	3000	2438	0.12313	 175.93	0.97847	  58.76	0.98313	  59.14	0.08015	 -56.09	 0.08
1	4.95000	15	3250	2438	0.12326	 175.85	0.97945	  58.77	0.98307	  59.08	0.08008	 -56.04	 0.08
1	4.95000	16	3500	2438	0.12290	 175.87	0.97902	  58.80	0.98316	  59.09	0.08011	 -56.10	 0.08
1	4.95000	17	3750	2438	0.12275	 175.92	0.97805	  58.78	0.98320	  59.08	0.07999	 -56.17	 0.08
1	4.95000	18	4000	2438	0.12287	 175.90	0.97952	  58.82	0.98310	  59.07	0.08016	 -55.94	 0.08
1	4.95000	19	4250	2438	0.12291	 175.83	0.97907	  58.80	0.98283	  59.12	0.08011	 -56.04	 0.08
1	4.95000	20	4500	2438	0.12304	 175.78	0.97879	  58.74	0.98328	  59.13	0.08026	 -56.07	 0.08
1	4.95000	21	4750	2438	0.12282	 175.91	0.97912	  58.83	0.98296	  59.10	0.08010	 -55.97	 0.08
1	4.95000	22	5000	2438	0.12291	 175.88	0.97877	  58.76	0.98304	  59.10	0.08012	 -56.18	 0.08
1	4.95000	23	5250	2438	0.12307	 175.92	0.97894	  58.81	0.98340	  59.04	0.08007	 -56.23	 0.08
1	4.95000	24	5500	2438	0.12328	 175.92	0.97911	  58.72	0.98257	  59.14	0.08010	 -55.97	 0.09
1	4.95000	25	5750	2438	0.12285	 175.85	0.97904	  58.77	0.98303	  59.09	0.08011	 -55.99	 0.08
1	4.95000	26	6000	2438	0.12295	 175.82	0.97898	  58.75	0.98357	  59.14	0.08019	 -56.03	 0.08
1	4.95000	27	6250	2438	0.12290	 175.84	0.97853	  58.76	0.98248	  59.07	0.08016	 -56.17	 0.09
1	4.95000	28	6500	2438	0.12275	 175.89	0.97873	  58.74	0.98388	  59.13	0.08028	 -56.05	 0.08
1	4.95000	29	6750	2438	0.12298	 175.88	0.97862	  58.76	0.98319	  59.09	0.08022	 -56.18	 0.08
1	4.95000	30	7000	2438	0.12285	 175.86	0.97902	  58.82	0.98280	  59.04	0.08021	 -55.94	 0.08
1	4.95000	31	7250	2438	0.12289	 175.91	0.97861	  58.79	0.98298	  59.06	0.08002	 -56.11	 0.08
1	4.95000	32	7500	2438	0.12271	 175.94	0.97861	  58.82	0.98276	  59.06	0.08006	 -56.00	 0.09
1	4.95000	33	7750	2438	0.12287	 175.93	0.97883	  58.82	0.98302	  59.06	0.07993	 -55.94	 0.08
1	4.95000	34	8000	2438	0.12284	 175.87	0.97888	  58.77	0.98313	  59.07	0.08007	 -56.09	 0.08
1	4.95000	35	8250	2438	0.12294	 175.89	0.97887	  58.79	0.98304	  59.06	0.08019	 -56.02	 0.08
1	4.95000	36	8500	2438	0.12284	 175.85	0.97943	  58.77	0.98281	  59.08	0.07999	 -56.04	 0.08
1	4.95000	37	8750	2438	0.12292	 175.91	0.97802	  58.75	0.98356	  59.10	0.07992	 -56.02	 0.08
1	4.95000	38	9000	2438	0.12292	 175.85	0.97847	  58.80	0.98320	  59.06	0.08012	 -56.19	 0.08
1	4.95000	39	9250	2438	0.12291	 175.90	0.97850	  58.79	0.98349	  59.08	0.07995	 -56.05	 0.08
1	4.95000	40	9500	2438	0.12296	 175.86	0.97854	  58.75	0.98320	  59.07	0.08006	 -56.21	 0.08
1	4.95000	41	9750	2438	0.12298	 175.92	0.97926	  58.79	0.98324	  59.08	0.08025	 -56.00	 0.08
