! Probe	Frequency	Pt Number	X pos	Y pos	Gamma s11	Phi s11	Gamma s12	Phi s12	Gamma s21	Phi s21	Gamma s22	Phi s22	loss
1	2.00000	1	0	0	0.00517	 -29.73	0.98607	  10.51	0.98604	  10.74	0.00890	 135.33	 0.12
1	2.00000	2	0	2438	0.00500	 -31.91	0.98566	  10.53	0.98558	  10.71	0.00886	 135.11	 0.13
1	2.00000	3	250	2438	0.00511	 -28.44	0.98614	  10.54	0.98542	  10.74	0.00887	 135.39	 0.13
1	2.00000	4	500	2438	0.00506	 -30.91	0.98570	  10.57	0.98572	  10.64	0.00885	 135.90	 0.12
1	2.00000	5	750	2438	0.00503	 -31.32	0.98595	  10.51	0.98577	  10.73	0.00888	 135.80	 0.12
1	2.00000	6	1000	2438	0.00486	 -30.67	0.98578	  10.55	0.98554	  10.70	0.00890	 135.16	 0.13
1	2.00000	7	1250	2438	0.00497	 -28.17	0.98608	  10.55	0.98541	  10.72	0.00877	 135.32	 0.13
1	2.00000	8	1500	2438	0.00502	 -29.70	0.98560	  10.54	0.98597	  10.73	0.00866	 135.16	 0.12
1	2.00000	9	1750	2438	0.00482	 -29.83	0.98576	  10.58	0.98525	  10.70	0.00870	 134.91	 0.13
1	2.00000	10	2000	2438	0.00491	 -30.75	0.98582	  10.57	0.98572	  10.67	0.00877	 135.61	 0.12
1	2.00000	11	2250	2438	0.00499	 -28.45	0.98597	  10.55	0.98608	  10.71	0.00867	 135.02	 0.12
1	2.00000	12	2500	2438	0.00492	 -28.39	0.98540	  10.56	0.98589	  10.75	0.00877	 134.73	 0.12
1	2.00000	13	2750	2438	0.00478	 -29.04	0.98549	  10.52	0.98554	  10.73	0.00880	 134.34	 0.13
1	2.00000	14	3000	2438	0.00499	 -28.13	0.98566	  10.54	0.98574	  10.72	0.00882	 134.81	 0.12
1	2.00000	15	3250	2438	0.00504	 -30.06	0.98532	  10.54	0.98621	  10.73	0.00866	 134.42	 0.12
1	2.00000	16	3500	2438	0.00497	 -29.25	0.98640	  10.50	0.98554	  10.75	0.00891	 134.67	 0.13
1	2.00000	17	3750	2438	0.00503	 -28.34	0.98612	  10.57	0.98561	  10.72	0.00876	 134.37	 0.13
1	2.00000	18	4000	2438	0.00505	 -29.93	0.98588	  10.54	0.98526	  10.73	0.00877	 133.33	 0.13
1	2.00000	19	4250	2438	0.00508	 -28.65	0.98617	  10.51	0.98552	  10.70	0.00884	 135.18	 0.13
